api,scenario,duration_ms,size_bytes,status,timestamp
REST,simple,261.9609832763672,2560,200,1764543794.365987
REST,complex,297.73807525634766,42574,200,1764543794.6639354
GraphQL,simple,294.04330253601074,1183,200,1764543794.958307
GraphQL,complex,1316.0266876220703,2177,200,1764543796.2746928
REST,simple,261.55877113342285,2560,200,1764543796.5369527
REST,complex,314.6815299987793,42576,200,1764543796.8519783
GraphQL,simple,356.54568672180176,1183,200,1764543797.2087305
GraphQL,complex,806.833028793335,2177,200,1764543798.0157323
REST,simple,241.2281036376953,2561,200,1764543798.257622
REST,complex,322.5431442260742,42576,200,1764543798.5804522
GraphQL,simple,356.6920757293701,1183,200,1764543798.9375987
GraphQL,complex,738.516092300415,2175,200,1764543799.6763492
REST,simple,271.3780403137207,2560,200,1764543799.9481623
REST,complex,333.82272720336914,42576,200,1764543800.2824028
GraphQL,simple,298.0968952178955,1183,200,1764543800.5809288
GraphQL,complex,691.2386417388916,2176,200,1764543801.2725823
REST,simple,253.29995155334473,2561,200,1764543801.526743
REST,complex,348.25849533081055,42576,200,1764543801.875391
GraphQL,simple,285.6776714324951,1183,200,1764543802.161484
GraphQL,complex,844.7394371032715,2177,200,1764543803.0065851
REST,simple,252.3183822631836,2560,200,1764543803.2596676
REST,complex,328.62353324890137,42575,200,1764543803.5887482
GraphQL,simple,307.6815605163574,1184,200,1764543803.8968558
GraphQL,complex,649.9712467193604,2177,200,1764543804.5471256
REST,simple,236.39225959777832,2561,200,1764543804.7842274
REST,complex,315.5703544616699,42576,200,1764543805.1002195
GraphQL,simple,253.72767448425293,1185,200,1764543805.3543758
GraphQL,complex,1398.6644744873047,2177,200,1764543806.7533817
REST,simple,292.4501895904541,2560,200,1764543807.0465043
REST,complex,379.1055679321289,42576,200,1764543807.4260247
GraphQL,simple,284.5487594604492,1185,200,1764543807.7110171
GraphQL,complex,746.356725692749,2177,200,1764543808.4578004
REST,simple,258.2817077636719,2559,200,1764543808.7170458
REST,complex,323.0712413787842,42575,200,1764543809.04046
GraphQL,simple,285.5548858642578,1185,200,1764543809.3263695
GraphQL,complex,841.0847187042236,2177,200,1764543810.1678643
REST,simple,239.60542678833008,2560,200,1764543810.4082606
REST,complex,312.7288818359375,42576,200,1764543810.7213802
GraphQL,simple,299.8383045196533,1185,200,1764543811.0216453
GraphQL,complex,765.7792568206787,2177,200,1764543811.787837
REST,simple,237.15829849243164,2560,200,1764543812.025804
REST,complex,327.6042938232422,42575,200,1764543812.3538334
GraphQL,simple,265.13195037841797,1185,200,1764543812.619193
GraphQL,complex,802.2589683532715,2178,200,1764543813.42189
REST,simple,260.76698303222656,2561,200,1764543813.6834338
REST,complex,314.9571418762207,42575,200,1764543813.9986954
GraphQL,simple,288.806676864624,1184,200,1764543814.287907
GraphQL,complex,858.7186336517334,2178,200,1764543815.1470742
REST,simple,246.5343475341797,2561,200,1764543815.3943505
REST,complex,318.07637214660645,42575,200,1764543815.7128024
GraphQL,simple,282.73940086364746,1183,200,1764543815.995882
GraphQL,complex,793.9114570617676,2177,200,1764543816.7900257
REST,simple,258.014440536499,2561,200,1764543817.048716
REST,complex,325.67811012268066,42575,200,1764543817.374616
GraphQL,simple,259.3855857849121,1184,200,1764543817.6344445
GraphQL,complex,870.5520629882812,2178,200,1764543818.5052881
REST,simple,245.6655502319336,2561,200,1764543818.7516415
REST,complex,319.92340087890625,42575,200,1764543819.0719543
GraphQL,simple,296.22602462768555,1184,200,1764543819.3685138
GraphQL,complex,973.0725288391113,2177,200,1764543820.341974
REST,simple,247.81084060668945,2561,200,1764543820.59054
REST,complex,370.3145980834961,42576,200,1764543820.961149
GraphQL,simple,271.35443687438965,1185,200,1764543821.232907
GraphQL,complex,782.628059387207,2177,200,1764543822.0159197
REST,simple,269.2992687225342,2560,200,1764543822.2856941
REST,complex,374.7735023498535,42576,200,1764543822.660826
GraphQL,simple,303.3099174499512,1185,200,1764543822.9645653
GraphQL,complex,740.9584522247314,2177,200,1764543823.7057948
REST,simple,248.22330474853516,2559,200,1764543823.9547281
REST,complex,342.731237411499,42575,200,1764543824.2979047
GraphQL,simple,259.5086097717285,1185,200,1764543824.557762
GraphQL,complex,1349.238634109497,2177,200,1764543825.907182
REST,simple,326.24268531799316,2561,200,1764543826.2341125
REST,complex,456.3276767730713,42576,200,1764543826.690737
GraphQL,simple,292.39797592163086,1184,200,1764543826.9833713
GraphQL,complex,952.7649879455566,2177,200,1764543827.9364989
REST,simple,353.03688049316406,2560,200,1764543828.290102
REST,complex,346.39835357666016,42576,200,1764543828.636713
GraphQL,simple,267.6715850830078,1185,200,1764543828.9048269
GraphQL,complex,821.7976093292236,2178,200,1764543829.7270477
REST,simple,252.77972221374512,2560,200,1764543829.9806318
REST,complex,397.3855972290039,42575,200,1764543830.378251
GraphQL,simple,290.7404899597168,1185,200,1764543830.669316
GraphQL,complex,658.4916114807129,2178,200,1764543831.3282294
REST,simple,268.42308044433594,2559,200,1764543831.5973494
REST,complex,389.95862007141113,42575,200,1764543831.9876392
GraphQL,simple,286.0686779022217,1185,200,1764543832.2744222
GraphQL,complex,744.7829246520996,2177,200,1764543833.0196037
REST,simple,248.20184707641602,2560,200,1764543833.2684205
REST,complex,569.8704719543457,42576,200,1764543833.8386717
GraphQL,simple,285.6285572052002,1185,200,1764543834.1248562
GraphQL,complex,837.2247219085693,2177,200,1764543834.9622884
REST,simple,278.3198356628418,2560,200,1764543835.2411075
REST,complex,328.5813331604004,42575,200,1764543835.570085
GraphQL,simple,274.1110324859619,1185,200,1764543835.8446312
GraphQL,complex,833.9211940765381,2178,200,1764543836.6789563
REST,simple,265.50865173339844,2561,200,1764543836.945291
REST,complex,339.80798721313477,42575,200,1764543837.2855983
GraphQL,simple,292.1602725982666,1184,200,1764543837.5781996
GraphQL,complex,689.2373561859131,2178,200,1764543838.2678869
REST,simple,247.85494804382324,2559,200,1764543838.5163338
REST,complex,335.4024887084961,42575,200,1764543838.8519187
GraphQL,simple,269.76633071899414,1185,200,1764543839.122007
GraphQL,complex,821.9072818756104,2177,200,1764543839.9443514
REST,simple,281.4526557922363,2560,200,1764543840.2266674
REST,complex,324.4602680206299,42576,200,1764543840.5515347
GraphQL,simple,261.6841793060303,1185,200,1764543840.813765
GraphQL,complex,764.0399932861328,2177,200,1764543841.5782778
REST,simple,244.52471733093262,2560,200,1764543841.823589
REST,complex,308.9630603790283,42575,200,1764543842.133082
GraphQL,simple,289.11662101745605,1185,200,1764543842.4230976
GraphQL,complex,648.0998992919922,2178,200,1764543843.0716588
REST,simple,257.43842124938965,2561,200,1764543843.3296196
REST,complex,379.8525333404541,42575,200,1764543843.7099345
GraphQL,simple,282.9442024230957,1184,200,1764543843.9933748
GraphQL,complex,777.9860496520996,2178,200,1764543844.7718554
REST,simple,312.5193119049072,2561,200,1764543845.0851116
REST,complex,351.97973251342773,42575,200,1764543845.4375193
GraphQL,simple,274.66678619384766,1183,200,1764543845.712504
GraphQL,complex,643.9793109893799,2177,200,1764543846.3568609
